2020 Week 16,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Syracuse,Dino Babers,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Cincinnati,Indiana,Georgia,Florida,Oklahoma,Coastal Carolina,BYU,Northwestern,Iowa State,North Carolina,Louisiana,USC,Iowa,San Jose State,Liberty,Oklahoma State,Army,Miami,NC State,Ball State
Wyoming,Craig Bohl,Alabama,Ohio State,Clemson,Cincinnati,Texas A&M,Notre Dame,Indiana,Oklahoma,San Jose State,Georgia,Florida,Coastal Carolina,USC,Northwestern,BYU,Iowa,Iowa State,North Carolina,Army,Miami,Louisiana,Liberty,NC State,Boise State,Oklahoma State
West Virginia,Neal Brown,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Oklahoma,Cincinnati,Iowa State,Florida,Georgia,Indiana,Coastal Carolina,BYU,Louisiana,Iowa,North Carolina,Northwestern,Miami,Texas,Oklahoma State,USC,NC State,Liberty,San Jose State,Tulsa
Air Force,Troy Calhoun,Alabama,Ohio State,Clemson,Texas A&M,Notre Dame,Indiana,Georgia,Oklahoma,Cincinnati,Northwestern,Iowa State,Florida,Iowa,Coastal Carolina,North Carolina,BYU,Liberty,Miami,USC,San Jose State,Louisiana,Tulsa,Texas,Oregon,NC State
Iowa State,Matt Campbell,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Oklahoma,Iowa State,Cincinnati,Florida,Georgia,Coastal Carolina,Indiana,North Carolina,Northwestern,Iowa,USC,Louisiana,BYU,Miami,Texas,Oklahoma State,Oregon,San Jose State,Colorado,NC State
South Alabama,Steve Campbell,Alabama,Clemson,Ohio State,Texas A&M,Coastal Carolina,Cincinnati,Notre Dame,Oklahoma,Georgia,Florida,Indiana,North Carolina,BYU,Louisiana,USC,Iowa State,San Jose State,Northwestern,Iowa,Liberty,Tulsa,Miami,Oklahoma State,NC State,Texas
Toledo,Jason Candle,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Cincinnati,Indiana,Georgia,Oklahoma,Iowa State,Florida,Coastal Carolina,Louisiana,Northwestern,North Carolina,BYU,USC,Iowa,Tulsa,Miami,Oklahoma State,NC State,San Jose State,Oregon,Texas
Coastal Carolina,Jamey Chadwell,Alabama,Clemson,Notre Dame,Texas A&M,Ohio State,Cincinnati,Coastal Carolina,Oklahoma,Georgia,Indiana,Florida,Northwestern,BYU,Louisiana,Iowa State,North Carolina,San Jose State,Tulsa,Iowa,Miami,Liberty,USC,Oklahoma State,NC State,Army
Wisconsin,Paul Chryst,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Cincinnati,Indiana,Oklahoma,Georgia,Coastal Carolina,BYU,Iowa State,Florida,Northwestern,Iowa,North Carolina,Louisiana,Miami,Liberty,USC,San Jose State,Oklahoma State,Tulsa,Oregon,Army
Georgia Tech,Geoff Collins,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Cincinnati,Indiana,Coastal Carolina,Oklahoma,Florida,Georgia,Northwestern,USC,Iowa State,Iowa,BYU,North Carolina,Miami,Louisiana,Oklahoma State,San Jose State,Liberty,Texas,NC State,Oregon
Duke,David Cutcliffe,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Cincinnati,Oklahoma,Indiana,Georgia,Florida,Oregon,Iowa State,Northwestern,USC,North Carolina,Coastal Carolina,BYU,Miami,Iowa,NC State,San Jose State,Louisiana,Oklahoma State,Tulsa,Ball State
Florida International,Butch Davis,Alabama,Clemson,Notre Dame,Texas A&M,Ohio State,Cincinnati,Georgia,Oklahoma,Florida,Indiana,Northwestern,Coastal Carolina,BYU,Iowa State,North Carolina,Iowa,Texas,Tulsa,NC State,San Jose State,Liberty,Louisiana,Miami,Army,Oregon
Miami,Manny Diaz,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Oklahoma,Georgia,Indiana,Florida,Cincinnati,Iowa State,North Carolina,Northwestern,Miami,Iowa,Coastal Carolina,BYU,USC,Oklahoma State,NC State,Texas,Wisconsin,Oregon,San Jose State,Liberty
UTEP,Dana Dimel,Alabama,Clemson,Notre Dame,Texas A&M,Ohio State,Cincinnati,Oklahoma,Indiana,Coastal Carolina,North Carolina,Georgia,Florida,Iowa State,Iowa,BYU,Louisiana,San Jose State,Northwestern,USC,Miami,Oklahoma State,NC State,Liberty,Texas,Ball State
SMU,Sonny Dykes,Alabama,Clemson,Ohio State,Cincinnati,Notre Dame,Texas A&M,Indiana,Oklahoma,Coastal Carolina,Georgia,Florida,Iowa State,Tulsa,Northwestern,Miami,Iowa,North Carolina,San Jose State,BYU,USC,Louisiana,Liberty,NC State,Oklahoma State,Oregon
Cincinnati,Luke Fickell,Alabama,Clemson,Ohio State,Cincinnati,Notre Dame,Texas A&M,Indiana,Georgia,Coastal Carolina,Oklahoma,Iowa State,Florida,BYU,North Carolina,Northwestern,Louisiana,Iowa,San Jose State,Miami,Tulsa,Liberty,NC State,USC,Alabama-Birmingham,Army
Texas A&M,Jimbo Fisher,Alabama,Clemson,Texas A&M,Notre Dame,Ohio State,Cincinnati,Georgia,Indiana,Oklahoma,Florida,Coastal Carolina,North Carolina,Iowa State,BYU,Northwestern,Iowa,Miami,Louisiana,USC,Liberty,San Jose State,Oklahoma State,Tulsa,Army,Texas
Northwestern,Pat Fitzgerald,Alabama,Ohio State,Clemson,Notre Dame,Texas A&M,Cincinnati,Florida,Georgia,Oklahoma,Northwestern,Indiana,Iowa State,Iowa,Coastal Carolina,USC,BYU,Louisiana,North Carolina,Miami,San Jose State,Texas,Colorado,Oklahoma State,NC State,Oregon
Penn State,James Franklin,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Oklahoma,Florida,Indiana,Georgia,Northwestern,Iowa State,Iowa,Cincinnati,North Carolina,Miami,NC State,Texas,Coastal Carolina,BYU,San Jose State,Louisiana,Oklahoma State,Oregon,USC,Liberty
Liberty,Hugh Freeze,Alabama,Clemson,Ohio State,Texas A&M,Cincinnati,Notre Dame,Indiana,Oklahoma,Florida,Georgia,North Carolina,Coastal Carolina,Louisiana,Iowa State,Northwestern,Iowa,Miami,San Jose State,BYU,Liberty,Oklahoma State,NC State,Oregon,USC,Texas
Tulane,Willie Fritz,Alabama,Clemson,Ohio State,Notre Dame,Cincinnati,Texas A&M,Indiana,Florida,Oklahoma,Coastal Carolina,Georgia,Iowa State,Northwestern,BYU,North Carolina,San Jose State,Louisiana,Iowa,Tulsa,Texas,Miami,Liberty,USC,NC State,Oregon
Nebraska,Scott Frost,Alabama,Ohio State,Clemson,Texas A&M,Notre Dame,Cincinnati,Indiana,Oklahoma,Georgia,Northwestern,Iowa State,Iowa,Florida,Coastal Carolina,North Carolina,BYU,Miami,NC State,Oklahoma State,Liberty,San Jose State,USC,Louisiana,Tulsa,Army
