2022 FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Ohio,Tim Albin,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Tulane,Washington,Florida State,Oregon State,LSU,Oregon,Utah,USC,Clemson,Kansas State,Notre Dame,Troy,Fresno State,Ohio,UTSA,South Alabama,Air Force,Boise State
Indiana,Tom Allen,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Washington,Tulane,Florida State,LSU,USC,Kansas State,Utah,Oregon,Clemson,Oregon State,Notre Dame,Mississippi State,Troy,Pittsburgh,Fresno State,Minnesota,UCLA,Duke
Utah State,Blake Anderson,Georgia,Ohio State,TCU,Alabama,Tennessee,Michigan,Penn State,Washington,Florida State,Oregon,LSU,Oregon State,Tulane,USC,Kansas State,Utah,Clemson,Notre Dame,UCLA,Mississippi State,Fresno State,Troy,Air Force,Pittsburgh,South Carolina
UNLV,Marcus Arroyo,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Washington,Tulane,Utah,Florida State,USC,Clemson,Kansas State,Oregon,LSU,Oregon State,Notre Dame,Troy,Mississippi State,UCLA,Pittsburgh,South Carolina,Fresno State,Texas
Syracuse,Dino Babers,Georgia,TCU,Alabama,Michigan,Tennessee,Florida State,Ohio State,Penn State,Tulane,Washington,USC,Clemson,Utah,Oregon State,Kansas State,Oregon,LSU,Notre Dame,North Carolina,Pittsburgh,Troy,South Alabama,Mississippi State,Duke,UTSA
Rice,Mike Bloomgren,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,Florida State,Tulane,USC,LSU,Oregon State,Oregon,Utah,Kansas State,Clemson,Notre Dame,Mississippi State,Troy,Pittsburgh,South Carolina,Texas Tech,UTSA,Texas
San Jose State,Brent Brennan,Georgia,TCU,Ohio State,Michigan,Tennessee,Alabama,Penn State,Washington,Clemson,Florida State,Tulane,Kansas State,Utah,USC,LSU,Oregon,Oregon State,Notre Dame,Troy,Fresno State,Mississippi State,Pittsburgh,Duke,Air Force,UTSA
West Virginia,Neal Brown,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Tulane,Kansas State,Utah,Washington,Clemson,Florida State,Oregon State,USC,Oregon,LSU,Notre Dame,Mississippi State,Troy,Minnesota,Pittsburgh,Air Force,Texas,UTSA
Air Force,Troy Calhoun,Georgia,TCU,Michigan,Alabama,Ohio State,Tennessee,Washington,Penn State,Tulane,Oregon State,Kansas State,Utah,Clemson,Florida State,Oregon,LSU,USC,Troy,Air Force,Fresno State,Boise State,Mississippi State,Notre Dame,South Alabama,Texas Tech
Coastal Carolina,Jamey Chadwell,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Tulane,Washington,Florida State,Utah,Clemson,Kansas State,USC,Oregon State,Oregon,LSU,UCLA,Notre Dame,Troy,Duke,Mississippi State,Wake Forest,South Carolina,UTSA
Wake Forest,Dave Clawson,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,Clemson,Florida State,LSU,Tulane,Utah,Oregon State,Oregon,USC,Kansas State,Pittsburgh,Notre Dame,Mississippi State,UCLA,Minnesota,North Carolina,Duke,Wake Forest
Louisiana Tech,Sonny Cumbie,Georgia,TCU,Alabama,Michigan,Ohio State,Penn State,Tennessee,Washington,Florida State,LSU,Oregon,Kansas State,Oregon State,Utah,Clemson,Tulane,USC,Notre Dame,Mississippi State,Troy,South Carolina,Duke,Fresno State,Air Force,UCLA
Washington,Kalen DeBoer,Georgia,TCU,Michigan,Ohio State,Alabama,Washington,Tennessee,Penn State,LSU,Kansas State,Florida State,Utah,Clemson,Tulane,USC,Oregon State,Oregon,Air Force,Pittsburgh,Notre Dame,Fresno State,Troy,South Carolina,Mississippi State,UCLA
Washington State,Jake Dickert,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Washington,Penn State,Florida State,USC,Utah,Oregon State,Oregon,LSU,Tulane,Clemson,Kansas State,Notre Dame,Mississippi State,Troy,Fresno State,UCLA,Pittsburgh,Wake Forest,UTSA
UTEP,Dana Dimel,Georgia,Alabama,Michigan,Ohio State,Tennessee,Utah,Penn State,USC,TCU,Tulane,Clemson,Washington,Kansas State,Oregon,Florida State,Oregon State,LSU,South Carolina,UTSA,Notre Dame,UCLA,Troy,North Carolina,UCF,Mississippi State
NC State,Dave Doeren,Georgia,TCU,Michigan,Ohio State,Alabama,Penn State,Kansas State,Tennessee,Washington,Florida State,Tulane,USC,Oregon State,Utah,Clemson,Oregon,LSU,Mississippi State,UCLA,Notre Dame,Texas,South Carolina,Fresno State,Troy,Boise State
Temple,Stan Drayton,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Washington,Florida State,Tulane,USC,Kansas State,Utah,Clemson,Oregon,LSU,Oregon State,Notre Dame,UCLA,South Carolina,Texas,Mississippi State,Troy,UTSA,Fresno State
TCU,Sonny Dykes,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,USC,Florida State,Tulane,LSU,Oregon,Kansas State,Clemson,Utah,Oregon State,Notre Dame,Mississippi State,Troy,UTSA,UCLA,Air Force,Fresno State,Boise State
